Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,Postes demandés 
,Mike's Driving School,"Brantford, ON N3S 2M4",4216-Autres instructeurs,1
,Milliken Meat Products Ltd.,"Markham, ON L3R 0B4","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,Milton Equine Hospital,"Campbellville, ON L0P 1B0",3213-Technologues en santé animale et techniciens vétérinaires,2
,Minhas Lawayers LLP,"Mississauga, ON L4T 0A1",1221-Agents d'administration,1
,"Ministry of Tourism, Government of India","Toronto, ON M4W 3B8","1123-Professionnels en publicité, en marketing et en relations publiques",1
,Mississauga Palace Inc.,"Mississauga, ON L5S 1H3",6321-Chefs,1
,MJ Drywall & Stucco Ltd.,"Stoney Creek, ON L8J 2S9",7293-Calorifugeurs,1
,MJR Contractors Ltd.,"Toronto, ON M4R 1K8",7271-Charpentiers-menuisiers,1
,Moah Appliance Service Inc,"Scarborough, ON M1K 4Y5",7332-Réparateurs et préposés à l'entretien d'appareils,1
,Mobilelive Inc.,"Richmond Hill, ON L4B 1H1",2171-Analystes et consultants en informatique,1
,Mobis Parts Canada Corporation,"Markham, ON L6C 0Y3",1225-Agents aux achats,1
,Mohamad's Barber Shop,"Cambridge, ON N1T 1W2",6341-Coiffeurs et barbiers,1
,Molson International Trading Inc.,"Markham, ON L3R 1G6",6211-Superviseurs des ventes - commerce de détail,1
,Moment Communications Incorporated,"Toronto, ON M6H 2E2",5241-Designers graphiques et illustrateurs,1
,Monaghan Mushrooms Ltd,"Campbellville, ON L0P 1B0",821-Gestionnaires en agriculture,1
,Monsoon Indian Restaurant,"Thunder Bay, ON P7A 5R3",6322-Cuisiniers,1
,Moonfleet Poultry Services Ltd,"Walkerton, ON N0G 2V0",8431-Ouvriers agricoles,115
,Mori Home Improvements Ltd.,"Thornhill, ON L3T 4T8",8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
,Moving Media Group Inc.,"Toronto, ON M4M 2Z7",5223-Techniciens en graphisme,1
,Mr. X Inc.,"Toronto, ON M5T 1V7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Mucci Farms Ltd,"Kingsville, ON N9Y 2N1",8432-Ouvriers de pépinières et de serres,3
,Munck Cranes Inc.,"Stoney Creek, ON L8E 4B9",211-Directeurs des services de génie,1
,N & R Construction & Renovations Ltd.,"Richmond Hill, ON L4C 2V8",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,N Sawatzky Farms Inc,"Wheatley, ON N0P 2P0",8432-Ouvriers de pépinières et de serres,2
,N. Harris Computer Corporation (DBA) Harris Computer Systems,"Ottawa, ON K2E 8C4",2174-Programmeurs et développeurs en médias interactifs,1
,Nanak Auto Centre Inc,"Toronto, ON M9V 1C1",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,nanoPay Corporation,"Toronto, ON M6K 3P6",2173-Ingénieurs et concepteurs en logiciel,1
,Nathaswara Thavil Music of Global Inc,"Toronto, ON M1H 3G1",5133-Musiciens et chanteurs,2
,Nation Wide Canning Ltd,"Cottam, ON N0R 1B0",8431-Ouvriers agricoles,1
,Nationwide Transport Ltd,"Brampton, ON L6Y 0Z8",1526-Horairistes de trajets et d'équipages,1
,Nature Fresh Farms Inc,"Leamington, ON N8H 3V8","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,Nature Fresh Farms Sales Inc.,"Leamington, ON N8H 5H7",8611-Manoeuvres à la récolte,2
,Navantis Inc.,"Toronto, ON M6P 4G4",2174-Programmeurs et développeurs en médias interactifs,1
,NC Plus Inc.,"Toronto, ON M4Y 2B6",6341-Coiffeurs et barbiers,2
,Neelkanth Corporation,"Woodbridge, ON L4H 2T1",631-Directeurs de la restauration et des services alimentaires,1
,Neopost Canada Limited,"Markham, ON L3R 3J9",1122-Professionnels des services-conseils en gestion aux entreprises,1
,Neptunus Yachts Intarnational Inc.,"St Catharines, ON L2M 7N9","2148-Autres ingénieurs, n.c.a.",1
,Net Freight System Inc.,"Mississauga, ON L4T 1L2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,New Advance Wireless Inc.,"Etobicoke, ON M9W 5Z3",621-Directeurs - commerce de détail et de gros,1
,New Arcos Construction Ltd.,"Bradford, ON L3Z 2A4",7281-Briqueteurs-maçons,1
,New Haven Mortgage Corporation,"Toronto, ON M2K 2S5",1311-Techniciens en comptabilité et teneurs de livres,1
,New Lahore Tikka House Inc.,"Toronto, ON M4L 1Z3",6322-Cuisiniers,1
,Nitty's Food Services Limited,"London, ON N6A 3G2",6322-Cuisiniers,1
,Noar Masonry Ltd,"North York, ON M6L 2M1",7281-Briqueteurs-maçons,1
,Noorani Holdings Limited,"Mississauga, ON L5T 2W1",2241-Technologues et techniciens en génie électronique et électrique,1
,Norm Li AG + I Inc.,"Toronto, ON M5G 2E8",5241-Designers graphiques et illustrateurs,1
,Normand Excavation Inc.,"Hawkesbury, ON K6A 2R8",2234-Estimateurs en construction,1
,Nortex Roofing Ltd.,"Toronto, ON M8Z 2X2",7291-Couvreurs et poseurs de bardeaux,10
,North American Dental Wholesalers Inc.,"North York, ON M3J 3G8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,North Region Convenience Canada Inc,"Shelburne, ON L9V 2Z2",621-Directeurs - commerce de détail et de gros,1
,North Star Cement Finish Inc.,"Toronto, ON M6J 2Z6",7282-Finisseurs de béton,1
,Northernchem Inc.,"Niagara Falls, ON L2J 1A1",1222-Adjoints de direction,1
,Northview Windows and Doors,"North York, ON M3J 2V8",9227-Surveillants dans la fabrication et le montage de produits divers,1
,Nostra Services Inc,"Brampton, ON L6X 1R3",6322-Cuisiniers,1
,Notesolution Inc,"Toronto, ON M4W 3L4",114-Directeurs d'autres services administratifs,1
,Nova Diamonds Inc.,"Toronto, ON M5B 1V4",601-Directeurs des ventes corporatives,1
,Nova Supreme Dry Cleaners,"Toronto, ON M5A 4P5","6342-Tailleurs, couturiers, fourreurs et modistes",1
,Nutralab Canada Ltd,"Toronto, ON M1X 1C3",1122-Professionnels des services-conseils en gestion aux entreprises,1
,Nuvollo Corp.,"Toronto, ON M4L 2H3",2173-Ingénieurs et concepteurs en logiciel,1
,Oakfield Sei Ltd.,"Markham, ON L3R 2N2",6321-Chefs,1
,OCEAN PACKERS INC,"Toronto, ON M8Z 4Z8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Olympic Wholesale Live Bait Ltd.,"Scarborough, ON M1K 1N3",8611-Manoeuvres à la récolte,65
,Omnigon Communications Inc.,"Toronto, ON M6K 3E3",2171-Analystes et consultants en informatique,1
,Onex Corporation,"Toronto, ON M5J 2S1","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",3
,Ontario Corporation #1904516,"Kitchener, ON N2C 2S1",7282-Finisseurs de béton,3
,Ontario Plants Propagation Limited,"St Thomas, ON N5P 3T2",8432-Ouvriers de pépinières et de serres,2
,Ontario Power Generation,"Toronto, ON M5G 1Z5",112-Directeurs des ressources humaines,1
,OPC.TV Inc.,"Toronto, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,Orange Law and Public Relations,"Toronto, ON M5S 1M2",6221-Spécialistes des ventes techniques - commerce de gros,5
,Osmaks Inc.,"Toronto, ON M2R 3E1",7251-Plombiers,1
,Osole Spa Inc.,"Toronto, ON M5E 1P8","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,Ossington Avenue Baptist Church,"Toronto, ON M6G 3T7",4154-Personnel professionnel relié à la religion,1
,Ottawa Athletic Club,"Ottawa, ON K1B 4L5","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,Ours Enterprises Inc.,"Caledon, ON L7K 0X8",6211-Superviseurs des ventes - commerce de détail,1
,Outliers Consulting North America Inc,"Toronto, ON M4B 1C9",2171-Analystes et consultants en informatique,1
,Oyshi Sushi Restaurant,"Toronto, ON M5J 2R9",6321-Chefs,1
,Ozone West Wellness Ltd.,"Coburg, ON K9A 4J8","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,Pact Engineering Inc.,"Concord, ON L4K 5W9",2232-Technologues et techniciens en génie mécanique,2
,PAF Repair Inc.,"Kleinburg, ON L4H 3X5",7312-Mécaniciens d'équipement lourd,1
,Paintology Inc.,"Toronto, ON M9W 1C8",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,Palcam Technologies Ltd,"Newmarket, ON L3Y 9C7",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Parmar Sports Training Inc.,"Ottawa, ON K1K 4T9",5252-Entraîneurs,1
,Passat Ltd,"Vaughan, ON L4K 2M4","2148-Autres ingénieurs, n.c.a.",1
,PB10CU9 LTD,"Etobicoke, ON M9W 6N5","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,PE Pharma Inc.,"North York, ON M3B 3P6",1221-Agents d'administration,1
,Pearly Whites Plus,"Porcupine, ON P0N 1K0",3113-Dentistes,1
,Peekaboo Child Care Centre Inc.,"Ontario, ON L7L 4X5",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Peeters Mushrooms Inc,"Blenheim, ON N0P 1A0",8432-Ouvriers de pépinières et de serres,35
,Peninsula Cutting & Coring Inc.,"Welland, ON L3C 3W6",7611-Aides de soutien des métiers et manoeuvres en construction,1
,Per Vices Corporation,"Toronto, ON M6P 1W9",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),2
,Perfect Electricals Ltd.,"Brampton, ON L6S 6L6",7333-Électromécaniciens,1
,Peter Kiewit Infrastructure Co.,"Oakville, ON L6H 1A7",112-Directeurs des ressources humaines,1
,Peto MacCallum Ltd.,"Toronto, ON M6A 1V5",2175-Concepteurs et développeurs Web,1
,Petro Plastics Corporation Ltd.,"Woodbridge, ON L4L 4A3",9214-Surveillants dans la fabrication de produits en caoutchouc et en plastique,1
,Pfaff Motors Inc.,"Vaughan, ON L4K 4L1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Pfenning's Organic Vegetables,"New Hamburg, ON N3A 1T1",821-Gestionnaires en agriculture,1
,Pharmx Rexall Drugstores Ltd.,"Mississauga, ON L4Z 1R9",3131-Pharmaciens,1
,Phoenix Interactive Design Inc.,"London, ON N6B 2L5",2174-Programmeurs et développeurs en médias interactifs,1
,PHST Tech. Canada Ltd.,"Richmond Hill, ON L4B 1G8",6221-Spécialistes des ventes techniques - commerce de gros,1
,Piccioni Bros Mushroom Farm Ltd,"Dundas, ON L9H 5E2",8431-Ouvriers agricoles,10
,Pier 27 Produce Group Inc,"Barrie, ON L4N 6L2",8431-Ouvriers agricoles,5
,Piling Experts Inc.,"Richmond Hill, ON L4E 0K2",711-Directeurs de la construction,1
,Pinecrest Remembrance Services Ltd.,"Ottawa, ON K2C 3H9",8612-Manoeuvres en aménagement paysager et en entretien des terrains,3
,Pinto Wood Carpentry Ltd.,"Toronto, ON M6L 1Z8",7271-Charpentiers-menuisiers,5
,Planetruck & Trailer Repairs Inc.,"Brampton, ON L6W 3N5",7237-Soudeurs et opérateurs de machines à souder et à braser,2
,Plaza Consulting Inc.,"Toronto, ON M2M 4K2",2171-Analystes et consultants en informatique,1
,PM Fine Cabinetry Inc.,"Mississauga, ON L5T 1S3",7271-Charpentiers-menuisiers,2
,Pontarolo Engineering Inc,"Vaughan, ON L4K 4G9",2231-Technologues et techniciens en génie civil,1
,Porto Framing Ltd.,"Brampton, ON L6X 4R8",7204-Entrepreneurs et contremaîtres en charpenterie,1
,Portuguese Cheese Company Limited,"Toronto, ON M8Y 2W1","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,PostBeyond Inc,"Toronto, ON M5C 3A1",2174-Programmeurs et développeurs en médias interactifs,1
,Power Trucking Inc.,"Halton Hills, ON L0P 1E0",1221-Agents d'administration,1
,Precision Record Pressing,"Burlington, ON L7N 3W7",2243-Techniciens et mécaniciens d'instruments industriels,2
,Printer Gateway Inc.,"Toronto, ON M8W 3C4",7303-Surveillants de l'imprimerie et du personnel assimilé,1
,Pro-Flange Ltd.,"Cambridge, ON N3E 1B8",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Prolinc Packaging,"Mississauga, ON L5S 1L2",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,ProntoForms Inc.,"Kanata, ON K2K 3G5",6221-Spécialistes des ventes techniques - commerce de gros,1
,Protenergy Natural Foods Corp.,"Richmond Hill, ON L4B 4R3",1411-Employés de soutien de bureau généraux,1
,Pulse Tech Corp.,"Brampton, ON L6T 5K1",2281-Techniciens de réseau informatique,1
,PUNJABI VIRSA ARTS AND CULTURE ACADEMY,"Brampton, ON L6T 4L1","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,Pure Flavor Farms Inc,"Ruthven, ON N0P 2G0",8432-Ouvriers de pépinières et de serres,62
,Pure Natures Wellness Inc,"Leamington, ON N8H 1N8",8432-Ouvriers de pépinières et de serres,8
,Pyramid Farms Ltd,"Leamington, ON N8H 3A5","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,Qoints Inc.,"Toronto, ON M5V 3S8",2173-Ingénieurs et concepteurs en logiciel,1
,Quadra Design Studios Inc.,"Toronto, ON M5M 4B4",2251-Technologues et techniciens en architecture,1
,Quality Car Rental Inc.,"Toronto, ON M3J 2A8",1311-Techniciens en comptabilité et teneurs de livres,1
,Quarterback Transportation Inc.,"North York, ON M2K 1E3","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Quick Fix Appliances Inc.,"Thornhill, ON L4J 4S4",6315-Surveillants des services de nettoyage,2
,QuickPlay Media Inc.,"Toronto, ON M6K 3L5",6552-Autres préposés aux services d'information et aux services à la clientèle,1
,Rabba Ho Inc.,"Mississauga, ON L4Z 2C3",6222-Acheteurs des commerces de détail et de gros,1
,Radke Films Ltd.,"Toronto, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",8
,Rangi Brothers Logistics Inc,"Caledon, ON L7C 2X6",1241-Adjoints administratifs,1
,Rapri Transport Ltd.,"Brampton, ON L6W 1T4",7305-Surveillants du transport routier et du transport en commun,1
,Ray Tech Consulting Solutions Inc.,"Toronto, ON M2N 7E9",213-Gestionnaires des systèmes informatiques,1
,Raytheon Canada Limited,"Midland, ON L4R 5B8",2133-Ingénieurs électriciens et électroniciens,1
,Re/Max Imperial Realty Inc,"Markham, ON L3R 4T9",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,ReadyQuip Sales and Service Ltd,"Timmins, ON P4N 7X8","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Reif Windery Inc,"Niagara-On-The-Lake, ON L0S 1J0",2221-Technologues et techniciens en biologie,1
,Reliable Stock Transfer Inc.,"Toronto, ON M5J 2Y5","1113-Agents en valeurs, agents en placements et négociateurs en valeurs",1
,Renascor Incorporated,"Mississauga, ON L5N 1G2","4161-Recherchistes, experts-conseils et agents de programmes, en sciences naturelles et appliquées",1
,"ReTiSoft, Inc.","Mississauga, ON L5G 4S5",2171-Analystes et consultants en informatique,1
,Revolver Films Inc.,"Toronto, ON M5V 2B3","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Richard Wengle Architect Inc.,"Toronto, ON M5R 2H3",2251-Technologues et techniciens en architecture,1
,Rio Drywall Systems Inc.,"Concord, ON L4K 4M2","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,River Road Retirement Residence,"Niagara Falls, ON L2E 3E6",3233-Infirmiers auxiliaires,1
,RJP Limited,"Toronto, ON M3N 2V3",6311-Superviseurs des services alimentaires,1
,Robertdale Farms Ltd,"Earlton, ON P0J 1E0",8431-Ouvriers agricoles,2
,Robertson Amusement Ltd.,"Orangeville, ON L9W 3Z9","6722-Opérateurs et préposés aux sports, aux loisirs et dans les parcs d'attractions",16
,Roelands Plant Farms Inc,"Lambton Shores, ON N0N 1J5",8432-Ouvriers de pépinières et de serres,20
,Rolla Landscape Construction Ltd.,"Pickering, ON L1Y 1C4",7282-Finisseurs de béton,2
,Rooms Furniture & Accessories Inc.,"Mississauga, ON L4W 1C9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,Rose Integration Limited 2015,"Carleton Place, ON K7C 3T3",7231-Machinistes et vérificateurs d'usinage et d'outillage,6
,Ross Clair Contractors,"Toronto, ON M4B 3M2",711-Directeurs de la construction,1
,Royal Canadian Steel Inc.,"Brampton, ON L6T 4A3","1123-Professionnels en publicité, en marketing et en relations publiques",1
,Royal Conservatory Of Music,"Toronto, ON M5S 1W2",2174-Programmeurs et développeurs en médias interactifs,1
,Royal Parish Redeemed Christian Church of God,"St Catharines, ON L2R 2G7",1222-Adjoints de direction,1
,Rubina Roqueyya Medicine Professional Corporation,"Toronto, ON M4C 1M3",3112-Omnipraticiens et médecins en médecine familiale,1
,S & R Trucking Inc,"Bolton, ON L7E 2R6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,S.P.R. Masonry Inc.,"Toronto, ON M6B 2E9",7281-Briqueteurs-maçons,4
,SA Sport Inc.,"Orillia, ON L3V 6H9",911-Directeurs de la fabrication,1
,Saand Inc,"Etobicoke, ON M9W 5S1",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,Saco Fisheries Limited,"Wheatley, ON N0P 2P0",8262-Pêcheurs indépendants,4
,Sahib Gjrk Inc.,"Thornhill, ON L3T 7Y3",6322-Cuisiniers,2
,Sake Izakaya Inc,"Toronto, ON M5G 2R3",6322-Cuisiniers,1
,Sakunthala Catering,"Timmins, ON P4R 1A1",631-Directeurs de la restauration et des services alimentaires,1
,Samosa & Sweet Factory (1199893 ONTARIO LTD),"Toronto, ON M9W 6J9",1311-Techniciens en comptabilité et teneurs de livres,1
,San Cosme Inc.,"Toronto, ON M4N 2K9",6321-Chefs,1
,Sanjay Verma Professional Co,"Brampton, ON L6T 5T1",1221-Agents d'administration,1
,Santouka Kamei Canada Foods Ltd.,"Toronto, ON M5B 2C8",6322-Cuisiniers,1
,Sanyo Foods / Robinah Matende,"Kanata, ON K2M 1P2",4411-Gardiens d'enfants en milieu familial,1
,Satika International Inc.,"Ottawa, ON K2C 0P9",6211-Superviseurs des ventes - commerce de détail,1
,Savocris Inc,"Vaughan, ON L4J 0A7",6321-Chefs,1
,Savoia Chair Frames Ltd.,"Toronto, ON M6A 1Y7",113-Directeurs des achats,1
,Scarlett Acres Limited,"Colborne, ON K0K 1S0",8431-Ouvriers agricoles,80
,Schaefer System Int. Ltd.,"Brampton, ON L6T 5H4",2243-Techniciens et mécaniciens d'instruments industriels,1
