"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
Ontario,    High Wage,1948756 Ontario Inc.,"Vaughan, ON L4J 6W7",6322-Cooks,1
Ontario,    High Wage,1958040 Ontario Inc.,"Oakville, ON L6L 6L4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Ontario,    High Wage,2000438 Ontario Inc,"MISSISSAUGA, ON L5W 1L6",1221-Administrative officers,1
Ontario,    High Wage,2017210 Ont Inc.,"Thunder Bay, ON P7B 5Z8",7511-Transport truck drivers,15
Ontario,    High Wage,2029789 Ontario Limited,"Toronto, ON M6R 2J5",5241-Graphic designers and illustrators,4
Ontario,    High Wage,2038773 Ontario Inc. o/a Agents Are Us,"Markham, ON L6C 1T6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,2044844 Ontario Inc,"Ayr, ON N0B 1E0","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,2048345 Ontario Inc,"Brampton, ON L6P 1G4",7511-Transport truck drivers,5
Ontario,    High Wage,2067485 Ontario Inc,"Mississauga, ON L4W 2K4","7305-Supervisors, motor transport and other ground transit operators",1
Ontario,    High Wage,2091467 Ontario Inc.,"Toronto, ON M9W 6L9",0711-Construction managers,1
Ontario,    High Wage,2093165 Ontario Inc.,"Toronto, ON M4S 3E2",3414-Other assisting occupations in support of health services,1
Ontario,    High Wage,2099042 Ontario Ltd,"Perth, ON K7H 3C9","7302-Contractors and supervisors, heavy equipment operator crews",1
Ontario,    High Wage,2132524 Ontario Inc,"Georgetown, ON L7G  4S",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,2145462 Ontario Inc.,"Toronto, ON M8Z 2C4",1221-Administrative officers,1
Ontario,    High Wage,2152630 Ontario Inc,"Whitby, ON L1R 0M9",2173-Software engineers and designers,1
Ontario,    High Wage,2168587 ontario ltd,"NORTH YORK, ON M3J 2N7",7333-Electrical mechanics,1
Ontario,    High Wage,2219333 Ontario Inc.,"Brampton, ON L6W 3E7",6311-Food service supervisors,1
Ontario,    High Wage,2230434 Ontario Inc,"Mississauga, ON L5S 1S5","7302-Contractors and supervisors, heavy equipment operator crews",1
Ontario,    High Wage,2241082 ONTARIO INC,"Thornhill, ON L4J 7B5","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,2257652 Ontario Inc.,"Brampton, ON L6X 5L2",6322-Cooks,2
Ontario,    High Wage,2258730 Ontario Inc.,"Mississauga, ON L4Z 2Z1",6322-Cooks,3
Ontario,    High Wage,2269036 Ontario Inc,"St. Catharines, ON L2R 3J7",3233-Licensed practical nurses,1
Ontario,    High Wage,2271519 Ontario Inc.,"Mississauga, ON L5T 2J8",1221-Administrative officers,1
Ontario,    High Wage,2277376 Ontario Inc.,"Concord, ON L4K 1G6",5242-Interior designers and interior decorators,1
Ontario,    High Wage,2279225 Ontario Inc.,"Scarborough, ON M1K 2A7",6211-Retail sales supervisors,1
Ontario,    High Wage,2283516 ONTARIO INC,"MISSISSAUGA, ON L4T 3X2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,2292696 Ontario INC.,"Concord, ON L4K 3T3",2253-Drafting technologists and technicians,1
Ontario,    High Wage,2307403 ONTARIO INC,"CAMBRIDGE, ON N1T 2H8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
Ontario,    High Wage,2318394 ONTARIO INC.,"NORTH YORK, ON M2N 5S3","0651-Managers in customer and personal services, n.e.c.",1
Ontario,    High Wage,2320610 Ontario Inc,"Mississauga, ON L4W 4Y9","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,2332111 ONTARIO INC.,"CALEDON, ON L7C 4E5","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,2350378Ontario Ltd.,"Toronto, ON M6M 1B5","6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
Ontario,    High Wage,2352720 Ontario Inc.,"Brampton, ON L6P 1Z1",7511-Transport truck drivers,5
Ontario,    High Wage,2354254 ONTARIO INC.,"Mississauga, ON L5S 1M2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,2356750 Ontario Inc.,"Brampton, ON L6P 2K9",2151-Architects,1
Ontario,    High Wage,2372405 Ontario inc.,"Etobicoke, ON M9V 3Z7",6211-Retail sales supervisors,1
Ontario,    High Wage,2382330 ONTARIO INC.,"Richmond Hill, ON L4B 3B6",1226-Conference and event planners,1
Ontario,    High Wage,2389603 Ontario Inc,"Mississauga, ON L4Y 4C8",7295-Floor covering installers,1
Ontario,    High Wage,2389677 ONTARIO INC.,"Richmond Hill, ON L4S 1L7","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,2399968 Ontario Inc.,"Brampton, ON L6P 0B7",6322-Cooks,2
Ontario,    High Wage,2408612 ONTARIO INC.,"CALEDON, ON L7C 4A4","7305-Supervisors, motor transport and other ground transit operators",1
Ontario,    High Wage,2410916 Ontario Inc,"Milton, ON L9T 7L9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Ontario,    High Wage,2413949 Ontario inc,"Collingwood, ON L9Y 1P7",6311-Food service supervisors,1
Ontario,    High Wage,2447986 Ontario Inc.,"Vaughan, ON L4K 2V1",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,2447986 Ontario Inc.,"Vaughan, ON L4K 2V1",7242-Industrial electricians,1
Ontario,    High Wage,2451118 Ontario Inc.,"Niagara Falls, ON L2G 3Y8","6313-Accommodation, travel, tourism and related services supervisors",1
Ontario,    High Wage,2462515 Ontario Inc.,"Markham, ON L6G 0E7",6321-Chefs,1
Ontario,    High Wage,2466653 Ontario Corporation,"Kitchener, ON N2E 4E2",0631-Restaurant and food service managers,1
Ontario,    High Wage,2470970 Ontario Inc,"Mississauga, ON L4T 3W4",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,2474193 Ontario Inc.,"Scarborough, ON M1V 5B7",7231-Machinists and machining and tooling inspectors,2
Ontario,    High Wage,2489288 Ontario Inc.,"Brampton, ON L6W 3J9",7511-Transport truck drivers,3
Ontario,    High Wage,2492481 Ontario Inc.,"Brampton, ON L6T 0G4",6322-Cooks,1
Ontario,    High Wage,2493629 Ontario Inc,"BRAMPTON, ON L6R 1V5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,2495092 Ontario Inc.,"Mississauga, ON L6S 0A2",6322-Cooks,1
Ontario,    High Wage,2498067 ONTARIO INC.,"St. Catharines, ON L2R 3H9",0213-Computer and information systems managers,1
Ontario,    High Wage,2506739 Ontario Inc,"Niagara Falls, ON L2G 7V5",6315-Cleaning supervisors,1
Ontario,    High Wage,2506887 Ontario Inc,"Niagara-On-The-Lake, ON L0S 1J0",6321-Chefs,1
Ontario,    High Wage,2508080 Ontario Inc.,"London, ON N6A 3G6",6321-Chefs,1
Ontario,    High Wage,2514205 Ontario Incorporated,"Mississauga, ON L5V 1B5","0013-Senior managers - financial, communications and other business services",1
Ontario,    High Wage,2522649 Ontario Inc.,"Bolton, ON L7E 5X6",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,2523139 Ontario Inc,"Toronto, ON M8V 1A4",7294-Painters and decorators (except interior decorators),2
Ontario,    High Wage,2524291 Ontario Inc.,"Markham, ON L3R 2Z5",6314-Customer and information services supervisors,1
Ontario,    High Wage,2526488 Ontario Inc,"Toronto, ON M5C 2C5",0631-Restaurant and food service managers,1
Ontario,    High Wage,2531319 ONTARIO INC,"North York, ON M3C 4G4",2171-Information systems analysts and consultants,1
Ontario,    High Wage,2539881 ONTARIO INC.,"BRAMPTON, ON L6W 3H4",6314-Customer and information services supervisors,1
Ontario,    High Wage,2541163 ONTARIO INC.,"Mississauga, ON L4W 1E7",7231-Machinists and machining and tooling inspectors,2
Ontario,    High Wage,2542570 Ontario Inc.,"Brampton, ON L6Y 4M3",6311-Food service supervisors,1
Ontario,    High Wage,2542570 Ontario Inc.,"Brampton, ON L6Y 4M3",6322-Cooks,2
Ontario,    High Wage,2542783 Ontario Inc.,"markham, ON L3R 0G6",1241-Administrative assistants,1
Ontario,    High Wage,2559237 Ontario Ltd.,"Milton, ON L9T 5J3",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,2574135 Ontario Inc.,"Thornhill, ON L3T 4X1",0631-Restaurant and food service managers,1
Ontario,    High Wage,2575219 Ontario Inc.,"Brampton, ON L6V 1B1",1241-Administrative assistants,1
Ontario,    High Wage,2575219 Ontario Inc.,"Brampton, ON L6V 1B1",6211-Retail sales supervisors,1
Ontario,    High Wage,2583700 Ontario Inc.,"Brampton, ON L6R 0K8","0651-Managers in customer and personal services, n.e.c.",1
Ontario,    High Wage,2601501 Ontario Inc.,"Toronto, ON M4Y 1Y5",6311-Food service supervisors,1
Ontario,    High Wage,2601501 Ontario Inc.,"Toronto, ON M4Y 1Y5",6322-Cooks,3
Ontario,    High Wage,2608395 Ontario Inc.,"Mississauga, ON L5N 6S4",7281-Bricklayers,3
Ontario,    High Wage,2609397 Ontario Inc.,"Guelph, ON N1H 4E3",6321-Chefs,1
Ontario,    High Wage,2624160 Ontario Inc.,"Concord, ON L4K 2T8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,2624841 Ontario Inc.,"Guelph, ON N1H 2W8","0651-Managers in customer and personal services, n.e.c.",1
Ontario,    High Wage,2628559 Ontario Inc,"Concord, ON L4K 1L4",6211-Retail sales supervisors,2
Ontario,    High Wage,2628926 ONTARIO INC,"MISSISSAUGA, ON L4W 5A8","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,2635061 ONTARIO LTD.,"North York, ON M3H 5S4","7301-Contractors and supervisors, mechanic trades",1
Ontario,    High Wage,2635061 ONTARIO LTD.,"North York, ON M3H 5S4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
Ontario,    High Wage,2636148 Ontario Inc.,"OTTAWA, ON K1H 7X6",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,2636747 Ontario Inc.,"Toronto, ON M5V 3V4",6322-Cooks,1
Ontario,    High Wage,2636843 Ontario Inc,"Toronto, ON M2N 5R6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,2639513 Ontario Inc.,"Brampton, ON L6W 4K7",6322-Cooks,2
Ontario,    High Wage,2659124 Ontario Inc.,"North York, ON M2M 4G3","1123-Professional occupations in advertising, marketing and public relations",1
Ontario,    High Wage,2680018 Ontario Corporation,"Oakville, ON L6J 7W5","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,2682687 Ontario Ltd. OA Terry Fox Convenience,"MISSISSAUGA, ON L5V 2E8",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,2683289 ONTARIO INC.,"Toronto, ON M4Y 1X9",0631-Restaurant and food service managers,1
Ontario,    High Wage,2692918 Ontario Inc.,"East york, ON M4C 1M9",6311-Food service supervisors,1
Ontario,    High Wage,2692918 Ontario Inc.,"East york, ON M4C 1M9",6322-Cooks,3
Ontario,    High Wage,2698248 ONTARIO CORPORATION,"Toronto, ON M5T 1L1",6321-Chefs,1
Ontario,    High Wage,2699521 Ontario Inc.,"Mississauga, ON L5S 1W9",1241-Administrative assistants,1
Ontario,    High Wage,2706570 Ontario INC,"Mississauga, ON L5K 2L8",6211-Retail sales supervisors,1
Ontario,    High Wage,2709469 Ontario Inc.,"Toronto, ON M3B 1Y4",0631-Restaurant and food service managers,1
Ontario,    High Wage,2716533 Ontario Inc.,"Mississauga, ON L5M 7W4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,2726108 Ontario Ltd,"Markham, ON L3R  5T",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,2729051 ONTARIO LTD.,"Concord, ON L4K 1L4",6222-Retail and wholesale buyers,1
Ontario,    High Wage,2730246 Ontario Inc.,"Brampton, ON L7A 3Y6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,2731509 Ontario Inc.,"Toronto, ON M2N 7E9","0124-Advertising, marketing and public relations managers",1
Ontario,    High Wage,2750421 Ontario Inc.,"Mississauga, ON L5N 3N5","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,3580768 CANADA INC,"Mississauga, ON L5T 1J9",7511-Transport truck drivers,3
Ontario,    High Wage,444362 Ontario Limited,"Toronto, ON M2H 2E1",7231-Machinists and machining and tooling inspectors,1
Ontario,    High Wage,578898 Ont. Ltd.,"Toronto, ON M4K 3L1",7291-Roofers and shinglers,6
Ontario,    High Wage,6376631 CANADA INC.,"BRAMPTON, ON L7A 0S9",1241-Administrative assistants,1
Ontario,    High Wage,6620922 Canada Inc.,"LONDON, ON N5Z 3L1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,6738532 Canada Inc.,"Brampton, ON L6W 1K5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,6998437 Canada Inc.,"Brampton, ON L6Z 2S6",6211-Retail sales supervisors,1
Ontario,    High Wage,7132344 Canada Inc.,"Brampton, ON L6W 3K7",6311-Food service supervisors,1
Ontario,    High Wage,7150440 Canada Inc,"Brampton, ON L6P 2R3",7312-Heavy-duty equipment mechanics,1
Ontario,    High Wage,7214821 Canada Inc.,"Mississauga, ON L5H 2S1",7291-Roofers and shinglers,4
Ontario,    High Wage,7544812 Canada Inc.,"Puslinch, ON N0B 2J0",1221-Administrative officers,1
Ontario,    High Wage,7771487 canada inc,"TORONTO, ON M1L 4C2","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Ontario,    High Wage,7972288 canada inc.,"MISSISSAUGA, ON L5B 2N6",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,7972288 canada inc.,"MISSISSAUGA, ON L5B 2N6",6211-Retail sales supervisors,2
Ontario,    High Wage,8285136 CANADA INC.,"Mississauga, ON L5S 0A2",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,8392153 CANADA INC.,"BRAMPTON, ON L6Y 2P7",6221-Technical sales specialists - wholesale trade,1
Ontario,    High Wage,8646490 CANADA INC,"FORT FRANCES, ON P9A 3P8",6211-Retail sales supervisors,1
Ontario,    High Wage,8702551 Canada Limited,"Sarnia, ON N7S 6G5",3236-Massage therapists,2
Ontario,    High Wage,8777691 CANADA INC.,"MISSISSAUGA, ON L4T 1Z7",1221-Administrative officers,1
Ontario,    High Wage,8777691 CANADA INC.,"MISSISSAUGA, ON L4T 1Z7",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,88 WEBSTUDIO INC.,"Etobicoke, ON M9C 5J1",2281-Computer network technicians,1
Ontario,    High Wage,8937001 CANADA INC,"Markham, ON L3R 1G2",6222-Retail and wholesale buyers,1
Ontario,    High Wage,9045627 Canada Inc.,"Toronto, ON M6S 3Z3",2175-Web designers and developers,1
Ontario,    High Wage,9144242 Canada Inc.,"MARKHAM, ON L3R 1C6",7231-Machinists and machining and tooling inspectors,1
Ontario,    High Wage,9464921 canada inc,"scarborough, ON M1P 4Y4",6321-Chefs,2
Ontario,    High Wage,9480129 Canada Inc.,"Brampton, ON L6S 6K9",7511-Transport truck drivers,5
Ontario,    High Wage,9673105 Canada Inc.,"Milton, ON L9T 6K1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,9677089 canada inc,"North York, ON M3N 1H8","7305-Supervisors, motor transport and other ground transit operators",1
Ontario,    High Wage,9721002 Canada Inc,"Oakville, ON L6M 5G8",0213-Computer and information systems managers,1
Ontario,    High Wage,9819746 CANADA INCORPORATED,"VAUGHAN, ON L4K 3T3",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,982874 ONTARIO LIMITED,"Mississauga, ON L5L 1J3",1221-Administrative officers,2
Ontario,    High Wage,982874 ONTARIO LIMITED,"Mississauga, ON L5L 1J3",1241-Administrative assistants,2
Ontario,    High Wage,982874 ONTARIO LIMITED,"Mississauga, ON L5L 1J3",1311-Accounting technicians and bookkeepers,1
Ontario,    High Wage,982874 ONTARIO LIMITED,"Mississauga, ON L5L 1J3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
Ontario,    High Wage,9870423 Canada Inc,"Oshawa, ON L1G 4X9",3142-Physiotherapists,1
Ontario,    High Wage,A & G GROUP INC,"Woodbridge, ON L4L 2C7","9217-Supervisors, textile, fabric, fur and leather products processing and manufacturing",1
Ontario,    High Wage,A-1 Siding and Windows (Niagara) Ltd.,"Stoney Creek, ON L8E 2K8",7271-Carpenters,1
Ontario,    High Wage,Aasania Inc.,"Mississauga, ON L4W 2W4",7246-Telecommunications installation and repair workers,1
Ontario,    High Wage,AB Relations Inc.,"North York, ON M3J 2M2",2175-Web designers and developers,1
Ontario,    High Wage,ABM Plumbing & Heating Services Inc,"Etobicoke, ON M8Z 2G9",7251-Plumbers,1
Ontario,    High Wage,Absolute Interior Inc.,"Toronto, ON M4B 3E5",7241-Electricians (except industrial and power system),1
Ontario,    High Wage,Absolute Interior Inc.,"Toronto, ON M4B 3E5",7271-Carpenters,4
Ontario,    High Wage,ACCESS PERSONNEL RESOURCES INC.,"ETOBICOKE, ON M9W 6N5",1241-Administrative assistants,1
Ontario,    High Wage,Ace Annison Limited,"Markham, ON L3R 8C3",6222-Retail and wholesale buyers,1
Ontario,    High Wage,Ace Bricklayers Ltd.,"Toronto, ON M6L 2B3",7281-Bricklayers,1
Ontario,    High Wage,A-CLASS UPHOLSTERY LTD.,"Brampton, ON L6T 3V1","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,Action Force Transport Ltd,"Brampton, ON L6T 1B5",7511-Transport truck drivers,5
Ontario,    High Wage,Advanced Accounting & Tax Solutions Inc.,"NORTH YORK, ON M2M 1E5","1212-Supervisors, finance and insurance office workers",1
