"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2021",b,c,d,e,f
Quebec,  Primary Agriculture,Pépinière Des Terrasses Inc,"LAVAL, QC H7H 1S8",8432-Nursery and greenhouse workers,16
Quebec,  Primary Agriculture,Pépinière et Paysages Marcel Marin inc.,"St-Augustin-de-Desmaures, QC G3A 1W7","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Quebec,  Primary Agriculture,Pépinière et Verger Pedneault et Frères Inc.,"L'Isle-aux-Coudres, QC G0A 3J0",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Pépinière Jardin 2000 inc,"SAINTE-JULIE, QC J3E 1Y2",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Pépinière Rougemont,"ROUGEMONT, QC J0L 1M0",8432-Nursery and greenhouse workers,8
Quebec,  Primary Agriculture,PÉPINIÈRE SACTIC,"Ste-Clotilde de Châteauguay, QC J0L 1W0",8432-Nursery and greenhouse workers,3
Quebec,  Primary Agriculture,Pépinière Verdeaux Inc.,"MONTRÉAL, QC H2V 1A5",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Pigeon 2006 inc,"Saint come, QC J0K 2B0",8431-General farm workers,7
Quebec,  Primary Agriculture,Plantation Benoit Labbé inc.,"Longueuil, QC J3Y 5A4",8432-Nursery and greenhouse workers,4
Quebec,  Primary Agriculture,Plantation Fortin & Mercier Inc.,"SAINT-HONORÉ-DE-SHENLEY, QC G0M 1V0",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,Plantation Réal Beloin Inc,"East Hereford, QC J0B 1S0",8432-Nursery and greenhouse workers,4
Quebec,  Primary Agriculture,Plantations Cérès Inc.,"Saint-Charles-Borromée, QC J6E 7Y8",8431-General farm workers,2
Quebec,  Primary Agriculture,Plantations Nicholas Inc.,"Ste-Clotilde-d- Beauce, QC G0N 1C0",8431-General farm workers,1
Quebec,  Primary Agriculture,Plantations Nicholas Inc.,"Ste-Clotilde-d- Beauce, QC G0N 1C0",8432-Nursery and greenhouse workers,43
Quebec,  Primary Agriculture,Plantations Stéphan Perreault (9077-5750 Québec Inc),"Val-Joli, QC J1S 0C1",8431-General farm workers,2
Quebec,  Primary Agriculture,Plantations Stéphan Perreault (9077-5750 Québec Inc),"Val-Joli, QC J1S 0C1",8432-Nursery and greenhouse workers,6
Quebec,  Primary Agriculture,Polyculture Plante 1987 inc.,"SAINTE-PÉTRONILLE, QC G0A 4C0",8431-General farm workers,86
Quebec,  Primary Agriculture,Pomi Inc,"FRANKLIN, QC J0S 1E0",8431-General farm workers,19
Quebec,  Primary Agriculture,Pomme de Terre Lanaudoise inc. (La),"JOLIETTE, QC J6E 0L1",8431-General farm workers,4
Quebec,  Primary Agriculture,Porc SB inc.,"SAINT-ELZÉAR, QC G0S 2J1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Porc SB inc.,"SAINT-ELZÉAR, QC G0S 2J1",8431-General farm workers,1
Quebec,  Primary Agriculture,Porcherie du Ruisseau inc.,"AYER'S CLIFF, QC J0B 1C0",8431-General farm workers,1
Quebec,  Primary Agriculture,Porcherie Marigro Inc,"St-Rémi de Tingwick, QC J0A 1K0",8431-General farm workers,1
Quebec,  Primary Agriculture,Potager Gauvin inc.,"Ange-Gardien, QC J0E 1E0",8431-General farm workers,9
Quebec,  Primary Agriculture,Potager Mont-Rouge Senc,"ROUGEMONT, QC J0L 1M0",8431-General farm workers,31
Quebec,  Primary Agriculture,Potager Therrien Inc.,"SAINT-SYLVESTRE, QC G0S 3C0",8431-General farm workers,12
Quebec,  Primary Agriculture,Potager Yvanhoé inc.,"Saint-Henri, QC G0R 3E0",8431-General farm workers,20
Quebec,  Primary Agriculture,Potager Zotic Inc.,"ST-ZOTIQUE, QC J0P 1Z0",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Poulet D'Amours & Fils Inc,"Ste-Angèle de Monnoir, QC J0L 1P0",8431-General farm workers,1
Quebec,  Primary Agriculture,Printemps vivace inc.,"Sainte-Madeleine, QC J0H 1S0",8431-General farm workers,6
Quebec,  Primary Agriculture,Proculteur inc.,"SAINT-LÉONARD-D'ASTON, QC J0C 1M0",8431-General farm workers,2
Quebec,  Primary Agriculture,Production Laitière Gagné inc.,"COATICOOK, QC J1A 2S4",8431-General farm workers,1
Quebec,  Primary Agriculture,Production Mirio (2014) Inc.,"SAINT-LÉON-LE-GRAND, QC J0K 2W0",8431-General farm workers,1
Quebec,  Primary Agriculture,Productions D. Riendeau Inc.,"Sant-Rémi, QC J0L 2L0",8431-General farm workers,18
Quebec,  Primary Agriculture,Productions maraîchères Mailhot inc.,"St-Alexis-de-Montcalm, QC J0K 1T0",8431-General farm workers,75
Quebec,  Primary Agriculture,Productions Vegkiss Inc.,"Joliette, QC J6E 0L8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
Quebec,  Primary Agriculture,Productions Vegkiss Inc.,"Joliette, QC J6E 0L8",8431-General farm workers,44
Quebec,  Primary Agriculture,Productions Vegkiss PEI  inc,"Joliette, QC J6E 3Z1",8431-General farm workers,30
Quebec,  Primary Agriculture,Productions Vegkiss PEI  inc,"Joliette, QC J6E 3Z1",8611-Harvesting labourers,49
Quebec,  Primary Agriculture,Produits Maraîchers JMV Champagne inc.,"SAINT-THOMAS, QC J0K 3L0",8431-General farm workers,2
Quebec,  Primary Agriculture,Produits Mont-Blanc (9071-1979 QC inc.),"N.-Dame-de-Lourdes, QC J0K 1K0",8431-General farm workers,20
Quebec,  Primary Agriculture,Produits Ricard Inc. (Les),"ST-ALEXIS, QC J0K 1T0",8431-General farm workers,12
Quebec,  Primary Agriculture,PROGÉNIPORC (2011) INC,"Sainte Eulalie, QC G0Z 1E0",8431-General farm workers,2
Quebec,  Primary Agriculture,Qualité Delbi inc,"Côteau-du-lac, QC J0P 1B0",8431-General farm workers,7
Quebec,  Primary Agriculture,Québec Multiplants Inc.,"SAINT-APOLLINAIRE, QC G0S 2E0",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,R et L Beauregard inc.,"Sainte-Madeleine, QC J0H 1S0",8431-General farm workers,40
Quebec,  Primary Agriculture,R. Giard et Frères Inc.,"St-Hyacinthe, QC J2T 5J9",8431-General farm workers,1
Quebec,  Primary Agriculture,R. Pinsonneault & fils Ltée,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,11
Quebec,  Primary Agriculture,R.Robitaille et fils inc.,"Farnham, QC J2N 2N4",8431-General farm workers,18
Quebec,  Primary Agriculture,Ramea Phytotechnologies Inc.,"St-Roch-de-l'Achigan, QC J0K  3H",8432-Nursery and greenhouse workers,6
Quebec,  Primary Agriculture,Ranch Alain Belhumeur Inc.,"Mirabel, QC J7N 2V8",8431-General farm workers,2
Quebec,  Primary Agriculture,Ranch Danclau inc.,"SAINT-ULRIC-DE-MATANE, QC G0J 3H0",8431-General farm workers,1
Quebec,  Primary Agriculture,Reboisement Mauricie inc.,"SAINT-ÉTIENNE-DES-GRÈS, QC G0X 2P0",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,Réséco Inc.,"St-Wenceslas, QC G0Z 1J0",8431-General farm workers,12
Quebec,  Primary Agriculture,Roland Janson Ltée,"L'Assomption, QC J5W 1H3",8431-General farm workers,6
Quebec,  Primary Agriculture,Romarc Holsteins Inc.,"Plessiville, QC G6L  2Y",8431-General farm workers,1
Quebec,  Primary Agriculture,Rose Drummond 2017 inc.,"Drummondville, QC J2B 8A9",8431-General farm workers,1
Quebec,  Primary Agriculture,Rose Drummond 2017 inc.,"Drummondville, QC J2B 8A9",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Sapinière de la Mauricie (Gestion Le Stéphanois inc.),"Trois-Rivières, QC G9A 5E1",8432-Nursery and greenhouse workers,3
Quebec,  Primary Agriculture,SBEC 2006 Senc.,"HOWICK, QC J0S 1G0",8431-General farm workers,1
Quebec,  Primary Agriculture,Semico Centre Jardin Inc.,"Lévis, QC G6W  1H",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Serres Dalton enr. (Les),"Saint-Alexis, QC J0K 1T0",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Serres et Jardins Villiard inc.,"Saint-Aimé, QC J0G 1K0",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Serres et pépinières St-Élie inc.,"Sherbrooke, QC J1L 2W5",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Serres Hang S.E.N.C.,"ROUGEMONT, QC J0L 1M0",8432-Nursery and greenhouse workers,3
Quebec,  Primary Agriculture,Serres Sainte-Anne inc.,"SAINT-ALEXANDRE, QC J0J 1S0",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Serres Toundra Inc.,"SAINT-FÉLICIEN, QC G8K 2R4",8431-General farm workers,55
Quebec,  Primary Agriculture,Serres YG Pinsonneault Inc,"ST-RÉMI, QC J0L 2L0",8432-Nursery and greenhouse workers,7
Quebec,  Primary Agriculture,Service Avicole JGL (9091-8558 Québec Inc.),"VICTORIAVILLE, QC G6T  2B",8431-General farm workers,35
Quebec,  Primary Agriculture,Société Promiel Inc.,"Lévis, QC G6Y 0X7",8431-General farm workers,2
Quebec,  Primary Agriculture,Sogeporc Inc.,"St-Hyacinthe, QC J2S 4B6",8431-General farm workers,3
Quebec,  Primary Agriculture,Sollio Groupe Coopératif,"Montréal, QC H4N 3H7",8431-General farm workers,1
Quebec,  Primary Agriculture,Somival inc.,"Lac-au-Saumon, QC G0J 1M0",8432-Nursery and greenhouse workers,4
Quebec,  Primary Agriculture,Suisse Normande inc. (La),"Saint-Roch-Ouest, QC J0K 3H0",8431-General farm workers,1
Quebec,  Primary Agriculture,Sylva Croissance Investissement Inc.,"Lavaltrie, QC J5T 1R4",8431-General farm workers,2
Quebec,  Primary Agriculture,Techni-Veaux Inc.,"FORTIERVILLE, QC G0S  1J",8431-General farm workers,1
Quebec,  Primary Agriculture,Tembris Inc,"NOTRE-DAME-DU-NORD, QC J0Z 3B0",8431-General farm workers,1
Quebec,  Primary Agriculture,Terrassement Goupil Inc.,"PINTENDRE, QC G6C 1P9",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,Terre d'en Haut inc. (La),"Saint-Alexis, QC J0K 1T0",8432-Nursery and greenhouse workers,3
Quebec,  Primary Agriculture,Terre Ferme (La),"Sainte-Julienne, QC J0K 2T0",8431-General farm workers,3
Quebec,  Primary Agriculture,Terre Maraichère Boisvert Inc.,"Saint-Lin-Laurentides, QC J5M 1Y5",8431-General farm workers,8
Quebec,  Primary Agriculture,Terre-Eau inc.,"Saint-Joseph-de-Lepage, QC G5H 3K6",8431-General farm workers,2
Quebec,  Primary Agriculture,Théorêt et Fils Maître Maraîcher Inc.,"Ile-Bizard, QC H9E 1K3",8431-General farm workers,8
Quebec,  Primary Agriculture,Tourbière Lambert Inc,"Rivière-Ouelle, QC G0L 2C0",8431-General farm workers,18
Quebec,  Primary Agriculture,Tozer Multi-ressources & Services inc.,"BONAVENTURE, QC G0C 1E0",8431-General farm workers,2
Quebec,  Primary Agriculture,Trans Porcité Inc.,"SAINT-ELZÉAR, QC G0S 2J1",8431-General farm workers,1
Quebec,  Primary Agriculture,Transvol ltée,"St-Charles-De-Bellechasse, QC G0R 2T0",8431-General farm workers,80
Quebec,  Primary Agriculture,Union Libre cidre et vin Inc.,"DUNHAM, QC J0E 1M0",8431-General farm workers,4
Quebec,  Primary Agriculture,V.G. Culture inc.,"Sainte-Clotilde, QC J0L 1W0",8431-General farm workers,5
Quebec,  Primary Agriculture,Val des Rosacées SENC,"Mirabel, QC J7N  2P",8431-General farm workers,3
Quebec,  Primary Agriculture,Vallée des Prairies Inc.,"Saint-François-de-la-Rivière-du-Sud, QC G0R 3A",8431-General farm workers,2
Quebec,  Primary Agriculture,Végétolab inc.,"Alma, QC G8E 1X7",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,Verger Caron Inc.,"FRELIGHSBURG, QC J0J 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Verger Caron Inc.,"FRELIGHSBURG, QC J0J 1C0",8431-General farm workers,91
Quebec,  Primary Agriculture,Verger Coeur de Pomme Senc.,"Oka, QC J0N 1E0",8431-General farm workers,15
Quebec,  Primary Agriculture,Verger des Bois-Francs inc.,"PRINCEVILLE, QC G6L 4K6",8431-General farm workers,91
Quebec,  Primary Agriculture,Verger des Horizons Inc,"WARWICK, QC J0A 1M0",8431-General farm workers,10
Quebec,  Primary Agriculture,Verger du père de la fraise,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,24
Quebec,  Primary Agriculture,Verger Gibouleau Inc.,"Laval, QC H7J 1A3",8431-General farm workers,3
Quebec,  Primary Agriculture,Verger Hamel Distribution inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,26
Quebec,  Primary Agriculture,Verger Henryville senc,"Henryville, QC J0J 1E0",8431-General farm workers,1
Quebec,  Primary Agriculture,Verger Jodoin et frères inc.,"SAINT-JEAN-BAPTISTE, QC J0L 2B0",8431-General farm workers,4
Quebec,  Primary Agriculture,Verger Lacroix Inc.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,6
Quebec,  Primary Agriculture,Verger Mico SENC.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,4
Quebec,  Primary Agriculture,Verger Nicolet Inc.,"Grand St-Esprit, QC J0G  1B",8431-General farm workers,2
Quebec,  Primary Agriculture,Verger R et J Bouchard inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,17
Quebec,  Primary Agriculture,Verger Roger Côté inc.,"ROUGEMONT, QC J0L 1M0",8431-General farm workers,3
Quebec,  Primary Agriculture,Verger Thomson inc.,"ST-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,21
Quebec,  Primary Agriculture,Vergers DM Boileau inc,"Havelock, QC J0S 2C0",8431-General farm workers,22
Quebec,  Primary Agriculture,Vergers du Lac SENC,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,9
Quebec,  Primary Agriculture,Vergers et serres St-Paul senc,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,22
Quebec,  Primary Agriculture,Vergers Pierre Tremblay et Fils Inc.,"MONT-SAINT-GRÉGOIRE, QC J0J  1K",8431-General farm workers,1
Quebec,  Primary Agriculture,Vergers Stevenson inc.,"FRANKLIN, QC J0S 1E0",8431-General farm workers,30
Quebec,  Primary Agriculture,Vert Nature inc,"SHERRINGTON, QC J0L 2N0",8431-General farm workers,173
Quebec,  Primary Agriculture,Vignoble Camy Inc.,"Saint-Bernard-de-Lacolle, QC J0J 1V0",8431-General farm workers,2
Quebec,  Primary Agriculture,Vignoble Kobloth et Fils Inc.,"Saint-Bruno-de-Montarville, QC J3V 0L8",8431-General farm workers,1
Quebec,  Primary Agriculture,Vignoble Saint-Armand Inc.,"Saint-Armand, QC J0J 1T0",8431-General farm workers,10
Quebec,  Primary Agriculture,Villandré inc.,"Notre-Dame-du-Bon-Conseil, QC J0C  1A",8431-General farm workers,2
Quebec,  Primary Agriculture,Viticulture A & M inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Viticulture A & M inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,3
Quebec,  Primary Agriculture,Vivaco Groupe Coopératif,"Victoriaville, QC G6P 4R8",8431-General farm workers,1
Quebec,  Primary Agriculture,Volailles Labbé-Lavallée et Filles Inc.,"Saint-Hyacinthe, QC J2R 1Z3",8431-General farm workers,1
Quebec,  Primary Agriculture,Y-Baies Superfruits Inc,"MASKINONGÉ, QC J0K 1N0",8431-General farm workers,2
Quebec, Global Talent Stream,10036099 Canada Inc.,"Montreal, QC H2L 1K2",0213-Computer and information systems managers,2
Quebec, Global Talent Stream,6064086 Canada Inc,"Vaudreuil-Dorion, QC J7V 0N3",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9034-8327 Québec Inc.,"Pierrefonds, QC H8Z 2Z6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,9139-1490 Quebec inc.,"Montreal, QC H1W 2M1",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, QC G2J 0C4",2174-Computer programmers and interactive media developers,12
Quebec, Global Talent Stream,9280-0366 Québec Inc.,"Montréal, QC H2T 1X3",2175-Web designers and developers,1
Quebec, Global Talent Stream,9367-7292 Québec inc.,"Québec, QC G2G 0E3",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,9370-3437 Québec Inc,"Montréal, QC H3B  2E",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9374-4530 Québec Inc.,"Prévost, QC J0R 1T0",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9384-1914 Québec Inc.,"Westmount, QC H3Z 2E7",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,9419357 Canada Inc. (SPOCKEE eCommerce),"Montréal, QC H4M  2Z",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,9419357 Canada Inc. (SPOCKEE eCommerce),"Montréal, QC H4M  2Z",2175-Web designers and developers,1
Quebec, Global Talent Stream,9958304 Canada Inc.,"Montréal, QC H2X 2R4",2132-Mechanical engineers,1
Quebec, Global Talent Stream,Absolunet inc.,"Sainte-Thérèse, QC J7E 3X4",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,AC781 INC.,"Montreal, QC H3B 2E3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,ADNM-Solution de Gestion de l'Information Inc.,"Laval, QC H7P 0J1",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Affectlayer Software Corp. dba Chorus.ai,"Montreal, QC H3B  1R",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, QC G1X 4A5",2147-Computer engineers (except software engineers and designers),1
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, QC G1X 4A5",2171-Information systems analysts and consultants,5
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, QC G1X 4A5",2172-Database analysts and data administrators,2
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, QC G1X 4A5",2173-Software engineers and designers,2
Quebec, Global Talent Stream,AITera Inc.,"Québec, QC G1W 4Z7",2175-Web designers and developers,1
Quebec, Global Talent Stream,Alithya Canada Inc.,"Montréal, QC H3B 3A5",2171-Information systems analysts and consultants,12
Quebec, Global Talent Stream,Alithya Canada Inc.,"Montréal, QC H3B 3A5",2173-Software engineers and designers,2
Quebec, Global Talent Stream,Alithya Canada Inc.,"Montréal, QC H3B 3A5",2174-Computer programmers and interactive media developers,3
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",2281-Computer network technicians,1
Quebec, Global Talent Stream,Amber Studio Canada inc.,"Verdun, QC H4G 1C2",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,Animation Squeeze Studio inc.,"Québec, QC G1K 3J3",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,Anyon Systems Inc.,"Dorval, QC H9P 1G9",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2174-Computer programmers and interactive media developers,8
Quebec, Global Talent Stream,Atomic Fiction Canada Inc.,"Montréal, QC H3A 2J5",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Ballistiq Digital Inc.,"Montreal, QC H3C 2M7","1123-Professional occupations in advertising, marketing and public relations",1
Quebec, Global Talent Stream,Beenox inc.,"Quebec, QC G1K 3H3",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1",2174-Computer programmers and interactive media developers,4
Quebec, Global Talent Stream,Behavox Software (Canada) Inc.,"Montreal, QC H3A 3G4",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Ben Crudo Consulting Inc./Consultations Ben Crudo Inc.,"Montreal, QC H3A 2G4",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Ben Crudo Consulting Inc./Consultations Ben Crudo Inc.,"Montreal, QC H3A 2G4",2175-Web designers and developers,1
Quebec, Global Talent Stream,Beslogique Inc.,"Montreal, QC H4C 2H5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Billetterie et Solutions RFID Emisys Inc.,"Mont Saint-Hilaire, QC J3H 4K6",0213-Computer and information systems managers,1
